Section,Component,Term/Column,Electrical Meaning (Real World),How It Is Used in Code,Generation / Pattern
Dataset Columns,Solar,solar_actual_kw,"Actual PV power available locally (kW).","Used to compute available island power and export.","Synthetic: diurnal sine daylight * random peak. Forecast: diurnal sine with fixed peak (6.5 kW)."
Dataset Columns,Solar,solar_forecast_t+1_kw,"PV forecast one hour ahead (kW); models prediction uncertainty.","Used for forecast-aware reward shaping.","Synthetic: solar_actual scaled by random factor [0.7,1.3]. Forecast: solar_actual * 0.85."
Dataset Columns,Solar,solar_forecast_t+4_kw,"PV forecast four hours ahead (kW).","Used for forecast-aware reward shaping.","Synthetic: solar_actual scaled by random factor [0.6,1.4]. Forecast: solar_actual * 1.15."
Dataset Columns,Loads,load_p1_kw,"Priority-1 (critical) load demand (kW).","Critical constraint; unmet load triggers -100.","Synthetic: random base with evening bump; occasional overload. Forecast: fixed pattern with evening bump."
Dataset Columns,Loads,load_p2_kw,"Priority-2 load demand (kW).","Rewarded after P1.","Synthetic: random base with evening bump; occasional overload. Forecast: fixed pattern with evening bump."
Dataset Columns,Loads,load_p3_kw,"Priority-3 load demand (kW).","Lowest priority; smallest reward weight.","Synthetic: random base with evening bump; occasional overload. Forecast: fixed pattern with evening bump."
Dataset Columns,Battery,battery_soc,"State of charge fraction (0..1). Electrically: stored energy fraction.","Read at reset only; then SOC is updated internally via actions.","Synthetic: uniform [0.10,0.90]. Forecast: constant 0.85."
Dataset Columns,Battery,battery_capacity_kwh,"Battery energy capacity (kWh).","Used to convert SOC fraction to kWh for charging/discharging constraints.","Synthetic: constant default 20. Forecast: constant 20."
Dataset Columns,Battery,battery_max_charge_kw,"Charge power limit (kW).","Limits action 1 charging rate.","Synthetic: constant 5. Forecast: constant 5."
Dataset Columns,Battery,battery_max_discharge_kw,"Discharge power limit (kW).","Limits discharge actions 2/3/5.","Synthetic: constant 5. Forecast: constant 5."
Dataset Columns,Grid,grid_status,"1=grid available, 0=grid down. Electrically: upstream supply present/absent.","Controls whether grid-connected assumptions apply and which actions are allowed.","Synthetic: generated from blackout logic; forced 0 during maintenance. Forecast: scheduled hourly regimes; forced 0 during maintenance."
Dataset Columns,Grid,blackout_probability,"Probability proxy of near-term outage risk (0..1). Electrically: reliability metric.","Used for high-risk shaping, islanding penalties, and preparedness bonuses.","Synthetic: >=0.65 when high_blackout; otherwise <=0.60. Forecast: high windows at 0.70/0.85/0.95, otherwise 0.05."
Dataset Columns,Grid,blackout_type,"0=normal, 1=outage/risk, 2=maintenance outage.","Used to infer maintenance and outage context.","Synthetic: type2 assigned to ~50% of high-blackout rows. Forecast: fixed hour windows for type2 and type1."
Dataset Columns,Grid,expected_outage_duration_min,"Expected outage duration (minutes). Electrically: estimated repair/maintenance duration.","Used to choose conservative vs aggressive islanding strategy.","Synthetic: sampled ranges (maintenance 180-480; outage 30-240; risk-only 10-180; normal 0). Forecast: fixed per window (240/180/60)."
Dataset Columns,Grid,maintenance_active,"1=maintenance ongoing (grid down), else 0.","Hard safety constraint: only action 4 allowed; adds SOC readiness reward/penalty.","Synthetic: equals 1 iff blackout_type==2; implies grid_status==0. Forecast: equals 1 in specific hours; implies grid_status==0."
Dataset Columns,Derived,is_islanded,"Dataset flag indicating grid is down and not maintenance; informational.","Not used in observation_columns, but may be useful for diagnostics.","Synthetic/Forecast: computed as (grid_status==0 and maintenance_active==0)."
Dataset Columns,Derived,available_island_power_kw,"Upper bound proxy of island power (solar + max discharge).","Not used directly by env for served power, but useful for analysis/plots.","Computed as solar_actual_kw + battery_max_discharge_kw."
Generation,Training Dataset,generate_synthetic_microgrid_dataset,"Creates a multi-day hourly dataset combining time, solar, load, battery, and grid/blackout regimes.","Outputs synthetic_microgrid_dataset.csv; used by train_ppo.py via MicrogridEnv.","Loops days*24; solar uses diurnal daylight sine and random peak; loads have evening bump + overload probability; blackout uses Bernoulli for high_blackout (p=0.35) and maintenance conditional (p=0.50)."
 Generation,Forecast Dataset,generate_stress_evaluation_7_days,"Creates a 24-hour stress scenario used for scheduled inference.","Writes next_month_7_day_forecast.csv; consumed by ppo_inference.py then app.py.","Uses deterministic hourly regimes: 8/24 hours high blackout (>0.6) and 4/24 of those are maintenance (type2). Solar/load are deterministic diurnal patterns; SOC fixed at 0.85."
